Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2007-12-03,41.87,43.1,41.85,42.69,9153400.0,0.0,1.0,41.87,43.1,41.85,42.69,9153400.0
2007-12-04,42.22,43.65,42.22,43.32,6540200.0,0.0,1.0,42.22,43.65,42.22,43.32,6540200.0
2007-12-05,43.93,44.29,43.61,43.9,5883900.0,0.0,1.0,43.93,44.29,43.61,43.9,5883900.0
2007-12-06,44.2,44.64,43.71,44.54,5545300.0,0.0,1.0,44.2,44.64,43.71,44.54,5545300.0
2007-12-07,44.3,44.54,43.87,44.37,3709400.0,0.0,1.0,44.3,44.54,43.87,44.37,3709400.0
2007-12-10,44.5,44.79,44.24,44.62,4767300.0,0.0,1.0,44.5,44.79,44.24,44.62,4767300.0
2007-12-11,44.49,44.7,43.0,43.2699,7853300.0,0.0,1.0,44.49,44.7,43.0,43.2699,7853300.0
2007-12-12,43.87,44.19,42.94,43.54,6304500.0,0.0,1.0,43.87,44.19,42.94,43.54,6304500.0
2007-12-13,43.5,44.09,43.48,43.9,4995600.0,0.0,1.0,43.5,44.09,43.48,43.9,4995600.0
2007-12-14,43.6,43.75,41.97,42.11,9509200.0,0.0,1.0,43.6,43.75,41.97,42.11,9509200.0
2007-12-17,41.79,41.94,40.59,40.9,12301900.0,0.0,1.0,41.79,41.94,40.59,40.9,12301900.0
2007-12-18,42.17,43.97,41.58,42.03,17588300.0,0.0,1.0,42.17,43.97,41.58,42.03,17588300.0
2007-12-19,42.09,42.25,41.36,41.87,7207800.0,0.0,1.0,42.09,42.25,41.36,41.87,7207800.0
2007-12-20,41.94,42.36,41.55,42.17,6227400.0,0.0,1.0,41.94,42.36,41.55,42.17,6227400.0
2007-12-21,42.53,42.65,41.66,42.18,10437900.0,0.0,1.0,42.53,42.65,41.66,42.18,10437900.0
2007-12-24,42.77,43.12,42.2,42.84,3104000.0,0.0,1.0,42.77,43.12,42.2,42.84,3104000.0
2007-12-26,43.1,43.24,42.71,43.12,4655600.0,0.0,1.0,43.1,43.24,42.71,43.12,4655600.0
2007-12-27,43.11,43.19,42.25,42.34,4286600.0,0.0,1.0,43.11,43.19,42.25,42.34,4286600.0
