Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2007-12-03,9.84,9.9,9.62,9.66,23784900.0,0.0,1.0,9.84,9.9,9.62,9.66,23784900.0
2007-12-04,9.64,9.64,9.22,9.25,28688300.0,0.0,1.0,9.64,9.64,9.22,9.25,28688300.0
2007-12-05,9.27,9.49,8.83,8.91,70387700.0,0.0,1.0,9.27,9.49,8.83,8.91,70387700.0
2007-12-06,8.91,9.13,8.86,9.07,30085200.0,0.0,1.0,8.91,9.13,8.86,9.07,30085200.0
2007-12-07,9.08,9.08,8.79,9.05,27084300.0,0.0,1.0,9.08,9.08,8.79,9.05,27084300.0
2007-12-10,9.13,9.34,9.05,9.18,23950700.0,0.0,1.0,9.13,9.34,9.05,9.18,23950700.0
2007-12-11,9.31,9.53,9.04,9.07,39730000.0,0.0,1.0,9.31,9.53,9.04,9.07,39730000.0
2007-12-12,9.24,9.39,8.83,8.97,39039600.0,0.0,1.0,9.24,9.39,8.83,8.97,39039600.0
2007-12-13,8.86,9.01,8.42,8.84,45747100.0,0.0,1.0,8.86,9.01,8.42,8.84,45747100.0
2007-12-14,8.69,8.85,8.42,8.43,26747600.0,0.0,1.0,8.69,8.85,8.42,8.43,26747600.0
2007-12-17,8.41,8.42,7.93,7.95,29907600.0,0.0,1.0,8.41,8.42,7.93,7.95,29907600.0
2007-12-18,8.05,8.1,7.62,7.68,39257600.0,0.0,1.0,8.05,8.1,7.62,7.68,39257600.0
2007-12-19,7.7,8.04,7.54,7.98,45774200.0,0.0,1.0,7.7,8.04,7.54,7.98,45774200.0
2007-12-20,8.01,8.11,7.9107,7.97,25323100.0,0.0,1.0,8.01,8.11,7.9107,7.97,25323100.0
2007-12-21,8.05,8.05,7.66,7.79,26836400.0,0.0,1.0,8.05,8.05,7.66,7.79,26836400.0
2007-12-24,7.78,7.88,7.68,7.77,9193800.0,0.0,1.0,7.78,7.88,7.68,7.77,9193800.0
2007-12-26,7.795,7.88,7.68,7.77,12431200.0,0.0,1.0,7.795,7.88,7.68,7.77,12431200.0
2007-12-27,7.74,7.78,7.51,7.53,16497600.0,0.0,1.0,7.74,7.78,7.51,7.53,16497600.0
2007-12-28,7.51,7.58,7.3,7.32,18345200.0,0.0,1.0,7.51,7.58,7.3,7.32,18345200.0
2007-12-31,7.26,7.6,7.26,7.5,19668800.0,0.0,1.0,7.26,7.6,7.26,7.5,19668800.0
2008-01-02,7.28,7.4,7.02,7.14,46057300.0,0.0,1.0,7.28,7.4,7.02,7.14,46057300.0
2008-01-03,7.16,7.18,6.75,6.77,34787400.0,0.0,1.0,7.16,7.18,6.75,6.77,34787400.0
2008-01-04,6.53,6.64,6.1,6.25,51476400.0,0.0,1.0,6.53,6.64,6.1,6.25,51476400.0
